               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,             0.02188,           0.0050941,                   0,             0.97074,             0.98301,             0.99064,             0.74941,            0.018493,            0.003405,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,            0.021065,           0.0050674,                   0,             0.97083,             0.98929,             0.98984,             0.75015,            0.018116,           0.0033609,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,            0.021376,           0.0055002,                   0,             0.97287,             0.98962,             0.99028,              0.7434,            0.018244,           0.0033371,                   0,           0.0075448,           0.0075448,           0.0075448
                 126,            0.022709,           0.0054602,                   0,             0.96298,             0.99398,             0.99027,             0.73892,            0.018826,           0.0033474,                   0,            0.007525,            0.007525,            0.007525
                 127,            0.020872,           0.0053373,                   0,             0.96014,             0.99151,             0.98858,             0.71282,            0.019902,           0.0033494,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,            0.022166,           0.0055258,                   0,             0.96695,             0.99375,             0.99015,             0.74457,            0.018301,           0.0032692,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,            0.021337,           0.0056355,                   0,             0.96698,             0.99495,             0.98988,             0.74715,            0.018441,           0.0032432,                   0,           0.0074656,           0.0074656,           0.0074656
                 130,            0.021115,           0.0050886,                   0,             0.97197,             0.99151,             0.99191,              0.7492,            0.018594,           0.0032553,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,             0.02044,           0.0051954,                   0,             0.96897,             0.99441,             0.99075,             0.74101,            0.018739,           0.0033079,                   0,            0.007426,            0.007426,            0.007426
                 132,             0.02236,           0.0052956,                   0,             0.97461,             0.99151,             0.99273,             0.74746,            0.018428,           0.0032515,                   0,           0.0074062,           0.0074062,           0.0074062
                 133,            0.021161,           0.0053706,                   0,             0.97687,             0.99363,             0.99314,             0.75128,            0.018582,           0.0032376,                   0,           0.0073864,           0.0073864,           0.0073864
                 134,            0.021011,           0.0053369,                   0,             0.97846,             0.99363,             0.99304,             0.76616,            0.017446,           0.0031888,                   0,           0.0073666,           0.0073666,           0.0073666
                 135,            0.021562,           0.0054093,                   0,             0.97905,             0.99225,             0.99271,             0.75829,            0.017691,           0.0032624,                   0,           0.0073468,           0.0073468,           0.0073468
                 136,            0.020434,           0.0054711,                   0,              0.9789,             0.98488,             0.99166,             0.75527,            0.017698,           0.0032744,                   0,            0.007327,            0.007327,            0.007327
                 137,            0.021774,           0.0054435,                   0,             0.97698,             0.98514,             0.99073,             0.74539,            0.017848,           0.0032909,                   0,           0.0073072,           0.0073072,           0.0073072
                 138,             0.02119,           0.0051985,                   0,             0.97628,             0.98938,             0.99212,             0.76503,             0.01747,           0.0032591,                   0,           0.0072874,           0.0072874,           0.0072874
                 139,            0.022918,           0.0050788,                   0,             0.96891,             0.99265,             0.99151,             0.75813,            0.017577,           0.0032357,                   0,           0.0072676,           0.0072676,           0.0072676
                 140,            0.020815,           0.0053999,                   0,             0.97289,             0.99043,             0.99046,             0.74069,            0.018282,           0.0032504,                   0,           0.0072478,           0.0072478,           0.0072478
                 141,             0.02118,           0.0052183,                   0,             0.97491,             0.98991,              0.9927,             0.74669,            0.019084,            0.003327,                   0,            0.007228,            0.007228,            0.007228
                 142,            0.020018,           0.0051937,                   0,             0.97604,             0.98726,             0.99187,             0.76318,            0.017789,           0.0032508,                   0,           0.0072082,           0.0072082,           0.0072082
                 143,             0.02123,           0.0050733,                   0,             0.97747,             0.98726,             0.99221,              0.7526,            0.017785,           0.0032215,                   0,           0.0071884,           0.0071884,           0.0071884
